TrainNo,Direction,StartingStationID,EndingStationID
300,1,1070,990
802,1,1070,990
502,1,1040,990
1202,1,1070,990
1602,1,1070,990
1302,1,1070,990
1504,1,1040,990
204,1,1070,990
606,1,1070,990
1508,1,1040,990
206,1,1070,990
806,1,1070,990
610,1,1070,990
108,1,1070,990
612,1,1070,990
1514,1,1040,990
810,1,1070,990
616,1,1070,990
112,1,1070,990
618,1,1070,990
814,1,1070,990
116,1,1070,990
624,1,1070,990
818,1,1070,990
628,1,1070,990
120,1,1070,990
630,1,1070,990
822,1,1070,990
124,1,1070,990
636,1,1070,990
826,1,1070,990
128,1,1070,990
642,1,1070,990
830,1,1070,990
132,1,1070,990
648,1,1070,990
834,1,1070,990
136,1,1070,990
654,1,1070,990
838,1,1070,990
140,1,1070,990
660,1,1070,990
242,1,1070,990
842,1,1070,990
664,1,1070,990
144,1,1070,990
666,1,1070,990
846,1,1070,990
670,1,1070,990
148,1,1070,990
672,1,1070,990
850,1,1070,990
676,1,1070,990
152,1,1070,990
678,1,1070,990
854,1,1070,990
156,1,1070,990
684,1,1070,990
858,1,1070,990
160,1,1070,990
690,1,1070,990
862,1,1070,990
696,1,1070,1000
294,1,1070,990
598,1,1070,1040
803,0,990,1070
583,0,1040,1070
203,0,1000,1070
603,0,990,1070
805,0,990,1070
109,0,990,1070
1505,0,990,1040
609,0,990,1070
205,0,990,1070
809,0,990,1070
613,0,990,1070
113,0,990,1070
615,0,990,1070
1307,0,990,1070
813,0,990,1070
619,0,990,1070
117,0,990,1070
621,0,990,1070
817,0,990,1070
625,0,990,1070
121,0,990,1070
627,0,990,1070
821,0,990,1070
125,0,990,1070
633,0,990,1070
825,0,990,1070
129,0,990,1070
639,0,990,1070
829,0,990,1070
133,0,990,1070
645,0,990,1070
833,0,990,1070
137,0,990,1070
651,0,990,1070
837,0,990,1070
141,0,990,1070
657,0,990,1070
841,0,990,1070
661,0,990,1070
145,0,990,1070
663,0,990,1070
845,0,990,1070
667,0,990,1070
149,0,990,1070
669,0,990,1070
849,0,990,1070
673,0,990,1070
153,0,990,1070
675,0,990,1070
249,0,990,1070
853,0,990,1070
157,0,990,1070
681,0,990,1070
857,0,990,1070
161,0,990,1070
687,0,990,1070
861,0,990,1070
165,0,990,1070
693,0,990,1070
333,0,990,1070
295,0,990,1070
565,0,990,1040
567,0,990,1040
1652,1,1070,990
1238,1,1070,990
1658,1,1070,990
1546,1,1040,990
1550,1,1040,990
1246,1,1070,990
1250,1,1070,990
1254,1,1070,990
1682,1,1070,990
1688,1,1070,990
1264,1,1070,990
1637,0,990,1070
1643,0,990,1070
1649,0,990,1070
1655,0,990,1070
1237,0,990,1070
1541,0,990,1040
1241,0,990,1070
1545,0,990,1040
1245,0,990,1070
1549,0,990,1040
1327,0,990,1070
1679,0,990,1070
1553,0,990,1040
1253,0,990,1070
1685,0,990,1070
1557,0,990,1040
1257,0,990,1070
1691,0,990,1070
1563,0,990,1040
1210,1,1070,990
1214,1,1070,990
1622,1,1070,990
1218,1,1070,990
1640,1,1070,990
1646,1,1070,990
1607,0,990,1070
1209,0,990,1070
1513,0,990,1040
1213,0,990,1070
1309,0,990,1070
1217,0,990,1070
1631,0,990,1070
1234,1,1070,990
1542,1,1040,990
1320,1,1070,990
1554,1,1040,990
1558,1,1040,990
1562,1,1040,990
1258,1,1070,990
1330,1,1070,990
1566,1,1040,990
1570,1,1040,990
1510,1,1040,990
